id;lat;lon;utm_x_m;utm_y_m;depth_m;elev_m;year;month;day;hour;minute;second;rms_error;ml_mag;mw_mag;remarks
2764;-1.634606502;101.1407886;738175.595;9819199.405;1551.705;-1551.705;2023;1;20;19;17;18.689686;0.0134739;-0.51;-0.276;
2765;-1.644886928;101.1515618;739373.512;9818061.012;266.193;-266.193;2023;1;20;19;17;23.406839;0.024856;0.266;0.147;
2766;-1.645964091;101.1507608;739284.226;9817941.964;536.08;-536.08;2023;1;20;19;17;53.291722;0.0318111;0.337;0.19;
2767;-1.638841033;101.1439349;738525.298;9818730.655;1544.602;-1544.602;2023;1;20;19;17;59.525741;0.00660813;0.086;0.042;
2768;-1.635803659;101.1534906;739589.286;9819065.476;1423.864;-1423.864;2023;1;20;19;18;19.433571;0.0203304;-0.562;-0.31;
2769;-1.643616291;101.1446753;738607.143;9818202.381;2475;-2475;2023;1;20;19;18;31.328941;0.0320706;-0.058;-0.14;
2770;-1.639983368;101.1450725;738651.786;9818604.167;1608.523;-1608.523;2023;1;20;19;18;38.953537;0.0105493;-0.285;-0.224;
2771;-1.641393186;101.147681;738941.964;9818447.917;1430.966;-1430.966;2023;1;20;19;20;12.10822;0.00758302;-0.249;-0.175;
2772;-1.639926105;101.1357808;737617.56;9818611.607;1445.17;-1445.17;2023;1;20;19;20;39.854578;0.00413189;-0.625;-0.245;
2773;-1.641868618;101.1434702;738473.214;9818395.833;1580.114;-1580.114;2023;1;20;19;21;7.451546;0.0202032;-0.227;-0.32;
2774;-1.644290277;101.1434728;738473.214;9818127.976;1040.341;-1040.341;2023;1;20;19;21;18.801101;0.0452405;0.035;-0.035;
2775;-1.637821549;101.1536264;739604.167;9818842.262;1352.841;-1352.841;2023;1;20;19;21;59.858665;0.020114;-0.32;-0.305;
2776;-1.647582438;101.1471528;738882.44;9817763.393;564.489;-564.489;2023;1;20;19;22;12.791223;0.0216298;0.832;0.455;
2777;-1.64046641;101.133776;737394.345;9818552.083;1359.943;-1359.943;2023;1;20;19;22;39.847069;0.0110231;-0.625;-0.44;
2778;-1.639051542;101.1358468;737625;9818708.333;1480.682;-1480.682;2023;1;20;19;22;45.526965;0.0189681;-0.55;-0.381;
2779;-1.645109036;101.1327783;737282.738;9818038.69;1097.159;-1097.159;2023;1;20;19;23;1.109905;0.0220537;-0.49;-0.272;
2780;-1.65127804;101.150967;739306.548;9817354.167;-323.295;323.295;2023;1;20;19;23;6.73348;0.0319486;-0.278;-0.257;
2781;-1.647113955;101.1449464;738636.905;9817815.476;401.136;-401.136;2023;1;20;19;24;26.888088;0.0391775;0.102;-0.074;
2782;-1.642936807;101.1509581;739306.548;9818276.786;1409.659;-1409.659;2023;1;20;19;24;31.01466;0.0139981;-0.255;-0.116;
2783;-1.640795491;101.1405278;738145.833;9818514.881;1352.841;-1352.841;2023;1;20;19;24;45.321662;0.0177705;-0.874;-0.582;
2784;-1.648603834;101.1357232;737610.119;9817651.786;1125.568;-1125.568;2023;1;20;19;24;52.01435;0.014408;-0.847;-0.588;
2785;-1.641859076;101.1522938;739455.357;9818395.833;1296.023;-1296.023;2023;1;20;19;25;0.081828;0.00823111;-0.789;-0.467;
2786;-1.639717176;101.1423984;738354.167;9818633.929;1494.886;-1494.886;2023;1;20;19;25;16.01487;0.0163604;-0.813;-0.474;
2787;-1.65104164;101.1207521;735943.452;9817383.929;-238.068;238.068;2023;1;20;19;26;19.448465;0.0243436;-0.755;-0.841;
2788;-1.645372918;101.1375915;737818.452;9818008.929;1381.25;-1381.25;2023;1;20;19;26;40.251624;0.00665653;-0.728;-0.515;
2789;-1.642668603;101.1501556;739217.262;9818306.548;1352.841;-1352.841;2023;1;20;19;26;53.959995;0.0107771;-0.73;-0.344;
2790;-1.649336493;101.1424755;738361.607;9817569.94;834.375;-834.375;2023;1;20;19;28;3.065224;0.0462773;0.045;0.041;
2791;-1.641868041;101.144005;738532.738;9818395.833;1352.841;-1352.841;2023;1;20;19;28;27.276852;0.0146137;0.099;0.095;
2792;-1.645431017;101.146081;738763.393;9818001.488;862.784;-862.784;2023;1;20;19;28;29.357395;0.0328617;1.173;0.683;
2793;-1.644496914;101.1389943;737974.702;9818105.655;1345.739;-1345.739;2023;1;20;19;28;39.924328;0.0153127;0.468;0.253;
2794;-1.642263699;101.1513584;739351.19;9818351.19;1423.864;-1423.864;2023;1;20;19;29;12.853907;0.0207321;-0.812;-0.374;
2795;-1.63862703;101.1552316;739782.738;9818752.976;1153.977;-1153.977;2023;1;20;19;29;38.138559;0.0398006;0.12;0.056;
2796;-1.643817442;101.1452771;738674.107;9818180.06;1416.761;-1416.761;2023;1;20;19;30;28.616714;0.00744665;-0.592;-0.425;
2797;-1.646974924;101.1490907;739098.214;9817830.357;415.341;-415.341;2023;1;20;19;30;43.756328;0.035804;0.312;0.188;
2798;-1.643481899;101.1445415;738592.262;9818217.262;1324.432;-1324.432;2023;1;20;19;30;58.617533;0.0123789;-0.638;-0.492;
2799;-1.632783435;101.147137;738882.44;9819400.298;1061.648;-1061.648;2023;1;20;19;31;4.371802;0.00558733;-0.742;-0.582;
2800;-1.644022358;101.142403;738354.167;9818157.738;955.114;-955.114;2023;1;20;19;31;4.378399;0.0156911;-0.737;-0.416;
2801;-1.648070584;101.1311771;737104.167;9817711.31;841.477;-841.477;2023;1;20;19;31;9.731734;0.0185153;-0.831;-0.557;
2802;-1.6481856;101.1492257;739113.095;9817696.429;344.318;-344.318;2023;1;20;19;31;49.729283;0.0291712;0.32;0.17;
2803;-1.639703889;101.154698;739723.214;9818633.929;1409.659;-1409.659;2023;1;20;19;32;3.913775;0.00458099;-0.709;-0.587;
2804;-1.637821838;101.153359;739574.405;9818842.262;1381.25;-1381.25;2023;1;20;19;32;9.034135;0.0173955;-0.794;-0.488;
2805;-1.646106162;101.143809;738510.417;9817927.083;692.33;-692.33;2023;1;20;19;32;20.855461;0.0285128;0.455;0.263;
2806;-1.650406103;101.1486265;739046.131;9817450.893;-245.17;245.17;2023;1;20;19;32;52.813909;0.0321589;0.041;-0.093;
