id,lat,lon,utm_x_m,utm_y_m,depth_m,elev_m,year,month,day,hour,minute,second,dt_origin,rms_error,ml_mag,mw_mag,remarks
2753,-1.641072,101.1494141,739134.9133,9818483.236,1209.97,-1209.97,2023,1,20,19,13,59.4199982,2023-01-20 19:13:59.420000,0.0115036,-0.308,-0.214,WCC
2754,-1.6482375,101.1200114,735861.337,9817694.175,-143.22,143.22,2023,1,20,19,14,13.7799997,2023-01-20 19:14:13.780000,0.00404,-0.68,-0.909,WCC
2755,-1.6424601,101.1456787,738718.9678,9818330.146,1452.83,-1452.83,2023,1,20,19,14,47.2999992,2023-01-20 19:14:47.300000,0.0109171,-0.346,-0.123,WCC
2756,-1.6453022,101.1392253,738000.3175,9818016.556,1287.59,-1287.59,2023,1,20,19,14,51.0400009,2023-01-20 19:14:51.040000,0.012421,0.13,0.126,WCC
2757,-1.6383389,101.1355062,737587.1777,9818787.197,1798.85,-1798.85,2023,1,20,19,15,4.04,2023-01-20 19:15:04.040000,0.0253522,-0.366,-0.226,Reloc
2758,-1.6443293,101.1477132,738945.2017,9818123.152,934.28,-934.28,2023,1,20,19,15,37.7599983,2023-01-20 19:15:37.760000,0.0145519,0.407,0.278,WCC
2759,-1.6440858,101.148234,739003.1999,9818150.023,925.07,-925.07,2023,1,20,19,15,47.7599983,2023-01-20 19:15:47.760000,0.0157211,1.171,0.758,WCC
2760,-1.646688,101.1494059,739133.3317,9817862.056,661.43,-661.43,2023,1,20,19,16,4.2399998,2023-01-20 19:16:04.240000,0.0135396,0.239,0.108,WCC
2761,-1.648104,101.1413493,738236.4015,9817706.399,676.99,-676.99,2023,1,20,19,16,23.4400005,2023-01-20 19:16:23.440000,0.0129113,-0.193,-0.113,WCC
2762,-1.6403726,101.1518473,739405.8322,9818560.305,1190.62,-1190.62,2023,1,20,19,16,33.0,2023-01-20 19:16:33.000000,0.010925,-0.256,-0.295,WCC
2763,-1.6456455,101.1473389,738903.3824,9817977.614,928.67,-928.67,2023,1,20,19,16,54.0999985,2023-01-20 19:16:54.100000,0.0160624,1.049,0.626,WCC
2764,-1.6447581,101.1498779,739186.0993,9818075.464,1062.73,-1062.73,2023,1,20,19,17,18.6599998,2023-01-20 19:17:18.660000,0.0072952,-0.51,-0.276,WCC
2765,-1.6460009,101.1506592,739272.9162,9817937.905,605.16,-605.16,2023,1,20,19,17,23.3999996,2023-01-20 19:17:23.400000,0.0155236,0.266,0.147,WCC
2766,-1.6466211,101.1484538,739027.3634,9817869.57,726.98,-726.98,2023,1,20,19,17,53.3199997,2023-01-20 19:17:53.320000,0.0149726,0.337,0.19,WCC
2767,-1.6436423,101.1462809,738785.857,9818199.312,1229.44,-1229.44,2023,1,20,19,17,59.5200005,2023-01-20 19:17:59.520000,0.0100577,0.086,0.042,WCC
2768,-1.6400066,101.1440837,738541.7227,9818601.715,1238.5,-1238.5,2023,1,20,19,18,19.4799995,2023-01-20 19:18:19.480000,0.0094384,-0.562,-0.31,WCC
2769,-1.636861,101.1553955,739801.1957,9818948.296,1467.41,-1467.41,2023,1,20,19,18,31.2399998,2023-01-20 19:18:31.240000,3.78e-05,-0.058,-0.14,WCC
2770,-1.6446116,101.1457275,738724.1439,9818092.165,1216.7,-1216.7,2023,1,20,19,18,38.9599991,2023-01-20 19:18:38.960000,0.0114185,-0.285,-0.224,WCC
2771,-1.6441682,101.149056,739094.6854,9818140.811,1145.83,-1145.83,2023,1,20,19,20,12.0799999,2023-01-20 19:20:12.080000,0.0095948,-0.249,-0.175,WCC
2772,-1.6444304,101.1322591,737225.033,9818113.814,979.31,-979.31,2023,1,20,19,20,39.8400002,2023-01-20 19:20:39.840000,0.0135375,-0.625,-0.245,WCC
2773,-1.6440458,101.1509847,739309.3801,9818154.118,1192.31,-1192.31,2023,1,20,19,21,7.4400001,2023-01-20 19:21:07.440000,0.0099629,-0.227,-0.32,WCC
2774,-1.6452775,101.1455566,738705.0422,9818018.531,1089.74,-1089.74,2023,1,20,19,21,18.7999992,2023-01-20 19:21:18.800000,0.0131158,0.035,-0.035,WCC
2775,-1.6431283,101.1550863,739766.0324,9818255.11,890.08,-890.08,2023,1,20,19,21,59.8400002,2023-01-20 19:21:59.840000,0.0156376,-0.32,-0.305,WCC
2776,-1.64793,101.1471273,738879.5574,9817724.953,748.54,-748.54,2023,1,20,19,22,12.8000002,2023-01-20 19:22:12.800000,0.0145147,0.832,0.455,WCC
2777,-1.6413886,101.1438477,738515.2901,9818448.882,1475.43,-1475.43,2023,1,20,19,22,39.7999992,2023-01-20 19:22:39.800000,0.0162161,-0.625,-0.44,WCC
2778,-1.6435958,101.1433268,738457.048,9818204.809,1329.06,-1329.06,2023,1,20,19,22,45.4799995,2023-01-20 19:22:45.480000,0.0133313,-0.55,-0.381,WCC
2779,-1.6472547,101.1452799,738674.008,9817799.868,988.43,-988.43,2023,1,20,19,23,1.08,2023-01-20 19:23:01.080000,0.0121463,-0.49,-0.272,WCC
2780,-1.6537818,101.1555745,739819.0973,9817076.671,-1158.37,1158.37,2023,1,20,19,23,6.6999998,2023-01-20 19:23:06.700000,0.0063699,-0.278,-0.257,WCC
2781,-1.6467667,101.1465658,738817.1967,9817853.691,862.12,-862.12,2023,1,20,19,24,26.8799992,2023-01-20 19:24:26.880000,0.0158808,0.102,-0.074,WCC
2782,-1.6456364,101.1489339,739080.9197,9817978.429,1402.92,-1402.92,2023,1,20,19,24,30.9599991,2023-01-20 19:24:30.960000,0.0090098,-0.255,-0.116,WCC
2783,-1.6410112,101.1546061,739712.8344,9818489.339,1024.24,-1024.24,2023,1,20,19,24,45.2799988,2023-01-20 19:24:45.280000,0.0236174,-0.874,-0.582,Reloc
2784,-1.6458726,101.1297526,736945.8721,9817954.594,1028.59,-1028.59,2023,1,20,19,24,51.9599991,2023-01-20 19:24:51.960000,0.0018856,-0.847,-0.588,WCC
2785,-1.6436348,101.1526774,739497.8408,9818199.375,1086.99,-1086.99,2023,1,20,19,25,0.08,2023-01-20 19:25:00.080000,0.0117205,-0.789,-0.467,WCC
2786,-1.6398281,101.1294352,736911.2561,9818623.2,1179.96,-1179.96,2023,1,20,19,25,15.9799995,2023-01-20 19:25:15.980000,0.0039511,-0.813,-0.474,Reloc
2787,-1.6543551,101.1236491,736265.5116,9817017.092,-42.04,42.04,2023,1,20,19,26,19.3999996,2023-01-20 19:26:19.400000,0.0034506,-0.755,-0.841,WCC
2788,-1.6462634,101.1460449,738759.2764,9817909.423,1288.37,-1288.37,2023,1,20,19,26,40.2200012,2023-01-20 19:26:40.220000,0.008493,-0.728,-0.515,WCC
2789,-1.6466844,101.156665,739941.3302,9817861.581,892.91,-892.91,2023,1,20,19,26,53.8600006,2023-01-20 19:26:53.860000,0.0121501,-0.73,-0.344,WCC
2790,-1.6484609,101.1451335,738657.5688,9817666.47,882.16,-882.16,2023,1,20,19,28,3.04,2023-01-20 19:28:03.040000,0.0132626,0.045,0.041,WCC
2791,-1.6437098,101.1487874,739064.8426,9818191.546,1167.73,-1167.73,2023,1,20,19,28,27.2800007,2023-01-20 19:28:27.280000,0.0113684,0.099,0.095,WCC
2792,-1.647021,101.1474365,738914.0822,9817825.459,932.5,-932.5,2023,1,20,19,28,29.3199997,2023-01-20 19:28:29.320000,0.0162908,1.173,0.683,WCC
2793,-1.6451654,101.1470622,738872.6407,9818030.75,1145.09,-1145.09,2023,1,20,19,28,39.9199982,2023-01-20 19:28:39.920000,0.0161223,0.468,0.253,WCC
2794,-1.6431984,101.1514404,739360.2043,9818247.794,1170.24,-1170.24,2023,1,20,19,29,12.8400001,2023-01-20 19:29:12.840000,0.0122541,-0.812,-0.374,WCC
2795,-1.6437129,101.1502197,739224.269,9818191.031,1079.55,-1079.55,2023,1,20,19,29,38.1199989,2023-01-20 19:29:38.120000,0.0122144,0.12,0.056,WCC
2796,-1.6459401,101.1453369,738680.509,9817945.268,1314.88,-1314.88,2023,1,20,19,30,28.5799999,2023-01-20 19:30:28.580000,0.009411,-0.592,-0.425,WCC
2797,-1.6471708,101.1489339,739080.7368,9817808.71,792.25,-792.25,2023,1,20,19,30,43.7599983,2023-01-20 19:30:43.760000,0.0137179,0.312,0.188,WCC
2798,-1.6451454,101.1486654,739051.092,9818032.77,1221.32,-1221.32,2023,1,20,19,30,58.5800018,2023-01-20 19:30:58.580000,0.0091547,-0.638,-0.492,WCC
2799,-1.6339723,101.1580241,740094.1265,9819267.5,262.48,-262.48,2023,1,20,19,31,4.3600001,2023-01-20 19:31:04.360000,0.0289941,-0.742,-0.582,Reloc
2800,-1.6456988,101.148055,738983.0837,9817971.632,570.08,-570.08,2023,1,20,19,31,4.4400001,2023-01-20 19:31:04.440000,0.0136724,-0.737,-0.416,WCC
2801,-1.6470163,101.1444255,738578.9351,9817826.34,1116.56,-1116.56,2023,1,20,19,31,9.7200003,2023-01-20 19:31:09.720000,0.0104727,-0.831,-0.557,WCC
2802,-1.6475713,101.1486247,739046.2726,9817764.448,769.05,-769.05,2023,1,20,19,31,49.7000008,2023-01-20 19:31:49.700000,0.0134086,0.32,0.17,WCC
